source,target,value
/external/client.js,braintree-api,1.0
/external/client.js,braintree-rpc,1.0
/external/client.js,braintree-utilities,1.0
/external/client.js,/external/api-proxy-server.js,1.0
/external/client.js,/external/merchant-form-manager.js,1.0
/external/client.js,/external/frame-container.js,1.0
/external/client.js,/shared/paypal-service.js,1.0
/external/client.js,braintree-paypal/src/shared/util/browser,1.0
/external/client.js,/external/package.version.js,1.0
/external/merchant-form-manager.js,braintree-utilities,1.0
/shared/paypal-service.js,braintree-paypal/src/external/client,1.0
/external/core.js,/external/client.js,1.0
/external/core.js,/external/package.version.js,1.0
/internal/core.js,backbone,1.0
/internal/core.js,fastclick,1.0
/internal/core.js,json2-browser,1.0
/internal/core.js,es5-shim/es5-shim,1.0
/internal/core.js,es5-shim/es5-sham,1.0
/internal/core.js,/internal/template-helpers.js,1.0
/internal/core.js,/internal/inline-frame/inline-frame.js,1.0
/internal/core.js,/internal/modal-frame/modal-frame.js,1.0
/internal/template-helpers.js,_,1.0
/internal/template-helpers.js,hbsfy/runtime,1.0
/internal/inline-frame/inline-frame.js,_,1.0
/internal/inline-frame/inline-frame.js,/internal/frame.js,1.0
/internal/inline-frame/inline-frame.js,/shared/collections/payment-method-collection.js,1.0
/internal/inline-frame/inline-frame.js,/internal/inline-frame/views/inline-frame-view.js,1.0
/internal/inline-frame/inline-frame.js,/internal/inline-frame/inline-frame-router.js,1.0
/internal/modal-frame/modal-frame.js,q,1.0
/internal/modal-frame/modal-frame.js,_,1.0
/internal/modal-frame/modal-frame.js,/internal/util/dropin-util.js,1.0
/internal/modal-frame/modal-frame.js,/internal/frame.js,1.0
/internal/modal-frame/modal-frame.js,/shared/collections/payment-method-collection.js,1.0
/internal/modal-frame/modal-frame.js,/internal/modal-frame/modal-frame-router.js,1.0
/internal/form/credit-card-type-identification-service.js,_,1.0
/internal/form/credit-card-type-identification-service.js,/internal/form/credit-card-type.js,1.0
/internal/form/credit-card-type.js,_,1.0
/internal/form/input.js,_,1.0
/internal/form/validator.js,_,1.0
